Date;Close
19.12.2023;792.48
18.12.2023;789.15
15.12.2023;793.13
14.12.2023;789.91
13.12.2023;787.02
12.12.2023;786.13
11.12.2023;786.45
8.12.2023;781.85
7.12.2023;776.34
6.12.2023;776.18
5.12.2023;774.07
4.12.2023;770.61
1.12.2023;771.37
30.11.2023;765.04
29.11.2023;761.99
28.11.2023;761.37
27.11.2023;764.22
24.11.2023;765.66
23.11.2023;762.32
22.11.2023;760.04
21.11.2023;758.56
20.11.2023;759.47
17.11.2023;758.59
16.11.2023;753.91
15.11.2023;762.82
14.11.2023;758.15
13.11.2023;753.41
10.11.2023;746.31
9.11.2023;749.16
8.11.2023;734.64
7.11.2023;735.74
6.11.2023;735.34
3.11.2023;736.31
2.11.2023;736.03
1.11.2023;722.23
31.10.2023;718.60
30.10.2023;714.05
27.10.2023;714.25
26.10.2023;719.30
25.10.2023;722.24
24.10.2023;721.73
23.10.2023;719.18
20.10.2023;716.24
19.10.2023;727.61
18.10.2023;729.57
17.10.2023;736.77
16.10.2023;735.39
13.10.2023;733.90
12.10.2023;741.52
11.10.2023;737.78
10.10.2023;738.89
9.10.2023;726.00
6.10.2023;726.70
5.10.2023;721.75
4.10.2023;720.86
3.10.2023;719.67
2.10.2023;724.18
29.9.2023;728.79
28.9.2023;725.99
27.9.2023;721.74
26.9.2023;721.43
25.9.2023;726.64
22.9.2023;730.09
21.9.2023;731.72
20.9.2023;738.32
19.9.2023;734.93
18.9.2023;735.85
15.9.2023;741.51
14.9.2023;744.46
13.9.2023;734.93
12.9.2023;736.69
11.9.2023;738.89
8.9.2023;739.09
7.9.2023;739.71
6.9.2023;745.43
5.9.2023;747.11
4.9.2023;747.43
1.9.2023;746.05
31.8.2023;743.62
30.8.2023;745.43
29.8.2023;745.89
28.8.2023;741.76
25.8.2023;733.37
24.8.2023;733.99
23.8.2023;740.73
22.8.2023;738.21
21.8.2023;733.59
18.8.2023;735.04
17.8.2023;737.63
16.8.2023;756.85
15.8.2023;759.28
14.8.2023;766.21
11.8.2023;765.16
10.8.2023;777.79
9.8.2023;770.22
8.8.2023;767.00
7.8.2023;772.13
4.8.2023;772.71
3.8.2023;770.07
2.8.2023;775.03
1.8.2023;786.14
31.7.2023;792.00
28.7.2023;794.27
27.7.2023;792.06
26.7.2023;775.46
25.7.2023;779.81
24.7.2023;771.55
21.7.2023;773.75
20.7.2023;769.62
19.7.2023;775.03
18.7.2023;774.48
17.7.2023;773.45
14.7.2023;778.93
13.7.2023;774.80
12.7.2023;768.14
11.7.2023;755.82
10.7.2023;755.76
7.7.2023;753.52
6.7.2023;753.34
5.7.2023;769.89
4.7.2023;778.72
3.7.2023;776.44
30.6.2023;773.94
29.6.2023;768.94
28.6.2023;767.77
27.6.2023;760.56
26.6.2023;757.50
23.6.2023;756.60
22.6.2023;759.17
21.6.2023;759.16
20.6.2023;763.09
19.6.2023;768.98
16.6.2023;772.72
15.6.2023;772.64
14.6.2023;771.41
13.6.2023;767.71
12.6.2023;760.34
9.6.2023;759.32
8.6.2023;760.94
7.6.2023;761.61
6.6.2023;762.22
5.6.2023;763.34
2.6.2023;764.92
1.6.2023;756.35
31.5.2023;748.86
30.5.2023;756.67
29.5.2023;764.10
26.5.2023;767.86
25.5.2023;755.21
